Identifier,District,PlannedDuration,Budget,EstimatedCost,ActualCost,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
M234,2,153,143751,187935,120611,0.2234882982682094,-0.025582466466542293,0.007271335589753242,0.011594759164472876,0.003773186191556283,0.011738767493629584,-0.014407149647101762,0.014803771979577354,-0.009158661010221296,0.003485607873061539
Q410,27,153,199839,227987,216686,0.128593179211374,-0.023841576720335676,0.0027398216295701845,0.004692211047421785,-0.0006236613050339888,0.007527674622165994,0.004154575495453222,-0.004301004337790182,-0.0025782863435287015,0.008428667172759599
K106,32,154,618501,512890,404215,0.12268254904242132,-0.02546409275021021,0.0031061657051573914,0.004314208797121117,-0.0010573529843232962,0.0033795707219276593,0.004774339863116728,-0.005181078764336926,0.001399619826422862,0.0009892783045839014
X498,11,156,137389,165125,165125,0.18181531736709042,-0.02809933557068716,0.0067678471208991575,0.0066586714017425955,0.007252995052205389,0.0037701718679158205,-0.008171412105333549,0.008120242719666668,-0.008825392642712026,0.0042239945621808765
R029,31,154,274324,317096,301843,0.16112150349201326,-0.02906304072295375,0.006218770225031989,0.005694554301896268,0.0047417080260304546,-0.0004755840385165278,-0.004315211082245687,0.0039148443752798755,-0.0022912395952881426,-0.004024074433925551
Q263,29,159,572361,436832,413369,0.1820586165304343,-0.017035084568539523,0.006852248849919395,0.0006967672146575795,0.004712802265587931,0.00024890268182520644,-0.0026182672480978475,0.0038118123396413007,0.0004271832223205811,-0.004256110821405076
X024,10,154,216989,324406,171108,0.22212172530353003,-0.0053865447131217535,-0.0017750465058106143,-0.0007372604800375352,0.002108551872184674,0.008367871193205846,-0.010094709175058305,0.00254049728505976,0.0018404818060850365,0.00861162008605048
Q680,28,186,644000,704713,540026,0.3488902598609572,0.0007557871880403313,0.006424013052495436,-0.007542862669806026,-0.002316627835182199,0.00370492819890847,-0.0011850099358311835,0.0035686054789336313,-0.003054154998235073,-0.004651663275620634
Q189,25,153,785001,680915,614940,0.11864702638494774,-0.026742255324758487,0.003548616994531855,0.0030595923787006887,0.0014876355249432277,0.0007884707707693794,0.004695298741350902,-0.005192029288790346,-0.00019346307754436272,0.0017745222435901322
X016,11,158,281335,358696,358696,0.17548597847546538,-0.004516595210792442,-0.0006202634047107835,0.0020130179274132046,-0.0015071533430911948,0.003850128067492428,-0.0010541134380668128,0.00033286793109269376,0.0023084083743943056,0.007088461553393153
K239,21,257,1350000,401602,401214,0.14258666565850708,-0.026627855067785713,0.00323683996742932,0.00341659036591415,0.0013032301692749077,-0.0013578696315566065,0.003434050010440499,-0.004201106335889725,0.0011684183209833316,0.0019505558991048191
K043,21,154,572050,366045,366045,-0.06659328347291243,-0.02440608269171737,-0.002729508363684162,-0.00037130966913852574,0.010321074382597297,-0.008537999382365796,0.0003708490520078724,0.0021785839420667397,0.0012826579385698503,0.004095941667080904
Q020,25,185,564660,565719,531234,0.16568829193735238,0.010863023221419812,0.0012669921640057528,-0.009720777506353433,0.001497391036878176,0.00859273606870546,-0.0029968456818303046,0.000167036916498419,-0.003691846817167489,0.0019504781450109
M154,5,188,72239,47899,47899,0.625478424566948,0.017710918348274613,0.013326727148422772,-0.02078162801115366,-0.0020788293834919313,0.011334981797865615,0.0006122974864251211,0.0008251126854582057,-0.0013088225623510278,-0.004628312432689008
X148,9,153,71215,144147,127542,0.03369805044899927,-0.022100685681600844,-0.0017916980530088729,-0.0022103392568763396,-0.005020510539996612,0.0033165766634758965,0.022716305080948792,-0.02340578293079529,0.004002097856410664,0.013371727339867455
Q163,25,157,60030,54487,54487,0.03369805044899926,-0.022100685681600826,-0.0017916980530088738,-0.0022103392568763396,-0.005020510539996605,0.003316576663475895,0.022716305080948792,-0.02340578293079529,0.004002097856410666,0.013371727339867438
Q098,26,159,49230,59433,59433,0.03369805044899926,-0.02210068568160083,-0.0017916980530088777,-0.002210339256876339,-0.005020510539996608,0.003316576663475896,0.022716305080948792,-0.02340578293079528,0.004002097856410664,0.013371727339867457
