Identifier,District,PlannedDuration,Budget,EstimatedCost,ActualCost,ActualDuration,PC1,PC2,PC3,PC4
Q225,27,181,15543,1006,1006,118,11.936431096525444,0.3819235053997217,1.8515409193527606,0.32031749740096777
X023,10,181,16605,8500,8500,119,11.936431096525444,0.3819235053997217,1.8515409193527606,0.32031749740096777
M154,5,167,18471,18471,4336,182,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
X025,7,183,21105,7154,7154,99,11.936431096525444,0.3819235053997217,1.8515409193527606,0.32031749740096777
K025,16,181,13817,32300,32300,271,11.936431096525444,0.3819235053997217,1.8515409193527606,0.32031749740096777
K255,22,182,21915,6590,6590,91,11.936431096525444,0.3819235053997217,1.8515409193527606,0.32031749740096777
K257,14,183,18693,24032,24032,104,11.936431096525444,0.3819235053997217,1.8515409193527606,0.32031749740096777
M197,5,173,14066,14066,6302,182,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
X028,9,177,14940,11998,11998,43,11.936431096525444,0.3819235053997217,1.8515409193527606,0.32031749740096777
R029,31,178,10112,14370,14370,183,11.936431096525444,0.3819235053997217,1.8515409193527606,0.32031749740096777
K297,14,181,19818,5053,5053,63,11.936431096525444,0.3819235053997217,1.8515409193527606,0.32031749740096777
M003,2,181,18290,6342,6342,104,11.936431096525444,0.3819235053997217,1.8515409193527606,0.32031749740096777
X065,7,190,18417,18417,6513,182,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
M042,2,181,19510,6698,6698,98,11.936431096525444,0.3819235053997217,1.8515409193527606,0.32031749740096777
X057,12,183,19350,7802,7802,99,11.936431096525444,0.3819235053997217,1.8515409193527606,0.32031749740096777
X063,9,181,25974,22280,22280,229,11.936431096525444,0.3819235053997217,1.8515409193527606,0.32031749740096777
X068,11,181,15705,8228,8228,133,11.936431096525444,0.3819235053997217,1.8515409193527606,0.32031749740096777
X008,10,196,18183,18183,17113,182,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
M089,2,182,18720,19334,19334,125,11.936431096525444,0.3819235053997217,1.8515409193527606,0.32031749740096777
K625,17,175,15893,17383,17383,133,11.936431096525444,0.3819235053997217,1.8515409193527606,0.32031749740096777
