Identifier,District,PlannedDuration,Budget,EstimatedCost,ActualCost,ActualDuration,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
K208,18,157,277301,399912,335189,147,0.29620869422934415,0.020038141536664163,-0.00306308140747335,-0.00493565656470692,0.004427125899764442,0.011822055034041707,-0.011473087036557425,0.005517973556560089,0.010519735128162046,0.01005022320577072
M115,6,187,357872,269042,239706,242,0.3596787276845736,0.016704546638238477,0.00028107434505732877,-0.01593366175558694,0.0034772908795383463,0.012966660210316535,-0.010171301388912073,0.007196599644680594,0.011000101521117052,0.011112629226617004
Q450,30,124,449880,702272,663615,78,0.3393647976259714,0.011548666887870734,-0.0018408238255034238,-0.011876389672121566,-0.0017675096353531922,0.005423524979055327,-0.002729956375836301,0.0012288367062707208,0.00756928562627157,0.0011756769241156356
K153,21,186,346050,324201,264560,453,0.4588300702732049,0.017827181295558017,0.0023322797845310235,-0.016356516163079395,0.00036678736703730136,0.010845647540228008,-0.006373874674983816,0.0028187828299719793,0.00882146697427009,0.009368762092349589
M521,2,126,67122,67122,1233,108,-0.3603011978200189,0.00040424337006041844,-0.012181346068254757,0.001751235986395283,0.005998878492399256,0.006388566898187874,0.006458682402048924,-0.0024107575644566085,0.00499426631464992,-0.004688348133098563
X009,10,154,935980,777989,720706,153,-0.06386708330543563,-0.024469589451600843,-0.0019622779663519296,0.0018876396749246617,0.006771105226510403,3.976983388701562e-05,0.0027701638448392064,-0.0010400138026286456,-0.000857784034303938,0.002864083410921191
Q452,30,145,130800,218157,209038,380,-0.329475868339957,0.0010542499781550654,-0.013934543617935008,-0.0018504289838198323,0.004620044487107417,0.002739101396906581,-0.0022828281314281763,-0.00013406178065714116,0.003622976829717091,-0.010217543929988674
K223,20,104,31989,97833,97314,243,-0.5739646196012388,-0.0033073323835126063,-0.02003167356859743,0.006985478378733584,0.009951925986710094,0.001962882025736146,-0.0010078542095491381,-0.0009319817430689195,0.006646543123185086,-0.0056956726333590516
Q245,24,209,598174,329283,26451,160,0.4255393308486117,0.004830781957376114,0.01065789379364651,-0.005151858990207393,-0.00712864215998243,0.0003446932773352428,0.002376922523383506,0.0011236602888945375,-0.0022655444023098477,0.00364514735406525
Q174,28,190,1321029,1321029,217411,183,0.5229231399949,0.008800524179369133,0.00972326791401781,-0.013102182091809538,-0.0029661257079931385,-0.00019559396670679893,0.007472530707590745,-0.005637142376916109,-0.0023977501725011914,0.0014732760354898148
Q430,26,129,56882,66010,55315,372,-0.6681577860725346,-0.01918664334629024,-0.05244073344527799,-0.012288455629727595,0.006804609621827655,-0.0020297708672218275,0.011033900007786705,0.0021558222506503884,-0.015486937808177868,0.011045427864816628
Q510,25,111,197723,106007,105819,249,-0.6681577860725346,-0.01918664334629024,-0.05244073344527799,-0.012288455629727595,0.006804609621827655,-0.0020297708672218275,0.011033900007786705,0.0021558222506503884,-0.015486937808177868,0.011045427864816628
K382,20,136,580767,311693,291783,248,-0.6681577860725346,-0.01918664334629024,-0.05244073344527799,-0.012288455629727595,0.006804609621827655,-0.0020297708672218275,0.011033900007786705,0.0021558222506503884,-0.015486937808177868,0.011045427864816628
K004,15,146,394400,188678,186050,156,-0.6681577860725342,-0.01918664334629028,-0.05244073344527798,-0.01228845562972747,0.006804609621827543,-0.0020297708672216866,0.011033900007786656,0.0021558222506500757,-0.015486937808177705,0.011045427864816916
X161,7,201,1713837,1713837,267328,186,0.5602203783712385,0.011420550402342999,0.011321065423866728,-0.012214052515131019,-0.003946883973143823,0.00180708430106052,0.006087605150820193,-0.004109875214170551,-0.003998759344915952,0.006064906945049366
K680,15,152,527750,119480,119480,171,-0.6681577860725346,-0.01918664334629024,-0.05244073344527799,-0.012288455629727595,0.006804609621827655,-0.0020297708672218275,0.011033900007786705,0.0021558222506503884,-0.015486937808177868,0.011045427864816628
K082,20,160,363300,259250,180275,264,-0.6681577860725346,-0.01918664334629024,-0.05244073344527799,-0.012288455629727595,0.006804609621827655,-0.0020297708672218275,0.011033900007786705,0.0021558222506503884,-0.015486937808177868,0.011045427864816628
Q511,25,144,71501,98428,83055,165,-0.6681577860725346,-0.01918664334629024,-0.05244073344527799,-0.012288455629727595,0.006804609621827655,-0.0020297708672218275,0.011033900007786705,0.0021558222506503884,-0.015486937808177868,0.011045427864816628
K358,21,100,109235,56691,56691,167,-0.6681577860725346,-0.01918664334629024,-0.05244073344527799,-0.012288455629727595,0.006804609621827655,-0.0020297708672218275,0.011033900007786705,0.0021558222506503884,-0.015486937808177868,0.011045427864816628
K009,13,165,1256734,1256734,179715,183,0.5563975038383036,0.01322436110399372,0.00999226579256855,-0.013951859779883074,-0.001839021957607511,0.0039390221507272566,0.0038714817458063103,-0.001150167440050436,-0.0026839945738224283,0.006865662354668823
Q512,25,121,187838,79277,79084,196,-0.6681577860725346,-0.01918664334629024,-0.05244073344527799,-0.012288455629727595,0.006804609621827655,-0.0020297708672218275,0.011033900007786705,0.0021558222506503884,-0.015486937808177868,0.011045427864816628
Q508,30,172,454294,372276,372276,226,-0.6681577860725346,-0.01918664334629024,-0.05244073344527799,-0.012288455629727595,0.006804609621827655,-0.0020297708672218275,0.011033900007786705,0.0021558222506503884,-0.015486937808177868,0.011045427864816628
Q388,25,91,327500,129120,121162,222,-0.6681577860725346,-0.01918664334629024,-0.05244073344527799,-0.012288455629727595,0.006804609621827655,-0.0020297708672218275,0.011033900007786705,0.0021558222506503884,-0.015486937808177868,0.011045427864816628
X515,10,119,211200,281599,221311,316,-0.6681577860725346,-0.01918664334629024,-0.05244073344527799,-0.012288455629727595,0.006804609621827655,-0.0020297708672218275,0.011033900007786705,0.0021558222506503884,-0.015486937808177868,0.011045427864816628
X001,7,183,2198624,2198624,287517,184,0.5296885999938529,0.01234319063885345,0.009413060077862054,-0.01487882802718561,-0.0015096749321072177,0.0028579664721061888,0.0036711784469684364,-0.003629439580495945,-0.002931439668778647,0.002951131731741146
R122,31,171,119450,271637,210493,178,-0.6681577860725346,-0.01918664334629024,-0.05244073344527799,-0.012288455629727595,0.006804609621827655,-0.0020297708672218275,0.011033900007786705,0.0021558222506503884,-0.015486937808177868,0.011045427864816628
