Identifier,District,PlannedDuration,Budget,EstimatedCost,ActualCost,ActualDuration,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
M166,3,184,68750,159947,108387,166,0.08954212853220882,0.013832765761197878,-0.010304752812801491,-0.006644513715410363,0.009302308836979545,0.007957279970306996,-0.007158547327319505,-0.0019455848756442277,0.0034190576120614337,0.0024859230576941838
Q505,28,183,104850,153209,134661,440,-0.3767213221458964,-0.00010722468318684232,-0.018430149123605136,-0.005041768975388503,0.00921813302619602,0.005709746285217285,-0.0027607874272768296,-0.0034401580432208397,0.007596293439499322,-0.00457776304189691
X430,10,185,76759,71345,63878,259,0.16025847947294597,0.013176126522781537,-0.0026553526259116686,-0.013893090542469753,0.009078173127682375,0.013326672489632152,-0.008417224278746749,0.004280289986075838,-0.0027226162594328664,0.0019816477613789794
M340,2,153,62414,62414,8011,157,0.021240651469784783,-0.01960970080932679,-0.0041831243597316116,-0.008518605969867445,-0.008776140486739008,-0.02525709545607458,-0.02335203753545136,-0.0020081080081593237,0.0032371285248011424,-0.003634881884220778
Q456,24,153,583526,628674,543636,398,0.021240651469784783,-0.01960970080932679,-0.0041831243597316116,-0.008518605969867445,-0.008776140486739008,-0.02525709545607458,-0.02335203753545136,-0.0020081080081593237,0.0032371285248011424,-0.003634881884220778
Q125,24,155,61828,83294,81418,256,0.021240651469784783,-0.01960970080932679,-0.0041831243597316116,-0.008518605969867445,-0.008776140486739008,-0.02525709545607458,-0.02335203753545136,-0.0020081080081593237,0.0032371285248011424,-0.003634881884220778
R002,31,153,52110,31814,31814,117,0.021240651469784783,-0.01960970080932679,-0.0041831243597316116,-0.008518605969867445,-0.008776140486739008,-0.02525709545607458,-0.02335203753545136,-0.0020081080081593237,0.0032371285248011424,-0.003634881884220778
X039,8,156,94776,164322,152479,265,0.021240651469784783,-0.01960970080932679,-0.0041831243597316116,-0.008518605969867445,-0.008776140486739008,-0.02525709545607458,-0.02335203753545136,-0.0020081080081593237,0.0032371285248011424,-0.003634881884220778
K110,14,146,121853,121853,5617,156,0.021240651469784783,-0.01960970080932679,-0.0041831243597316116,-0.008518605969867445,-0.008776140486739008,-0.02525709545607458,-0.02335203753545136,-0.0020081080081593237,0.0032371285248011424,-0.003634881884220778
K179,20,158,115630,147499,145470,189,0.021240651469784783,-0.01960970080932679,-0.0041831243597316116,-0.008518605969867445,-0.008776140486739008,-0.02525709545607458,-0.02335203753545136,-0.0020081080081593237,0.0032371285248011424,-0.003634881884220778
R053,31,154,112000,97307,70003,240,0.021240651469784783,-0.01960970080932679,-0.0041831243597316116,-0.008518605969867445,-0.008776140486739008,-0.02525709545607458,-0.02335203753545136,-0.0020081080081593237,0.0032371285248011424,-0.003634881884220778
K054,13,153,61755,156766,111724,390,0.021240651469784783,-0.01960970080932679,-0.0041831243597316116,-0.008518605969867445,-0.008776140486739008,-0.02525709545607458,-0.02335203753545136,-0.0020081080081593237,0.0032371285248011424,-0.003634881884220778
R069,31,154,155000,312172,247103,134,0.021240651469784783,-0.01960970080932679,-0.0041831243597316116,-0.008518605969867445,-0.008776140486739008,-0.02525709545607458,-0.02335203753545136,-0.0020081080081593237,0.0032371285248011424,-0.003634881884220778
K252,18,175,80831,80831,9018,156,0.021240651469784783,-0.01960970080932679,-0.0041831243597316116,-0.008518605969867445,-0.008776140486739008,-0.02525709545607458,-0.02335203753545136,-0.0020081080081593237,0.0032371285248011424,-0.003634881884220778
Q470,28,153,117260,56121,52717,139,0.021240651469784783,-0.01960970080932679,-0.0041831243597316116,-0.008518605969867445,-0.008776140486739008,-0.02525709545607458,-0.02335203753545136,-0.0020081080081593237,0.0032371285248011424,-0.003634881884220778
M088,3,159,145255,112335,106282,164,0.021240651469784783,-0.01960970080932679,-0.0041831243597316116,-0.008518605969867445,-0.008776140486739008,-0.02525709545607458,-0.02335203753545136,-0.0020081080081593237,0.0032371285248011424,-0.003634881884220778
Q111,30,154,375404,339374,339374,148,0.11023949778715189,-0.023974819838454387,0.0029513489940908182,0.00132110714803306,-0.003127543779126667,-0.004379603482896337,-0.007021757355359506,0.0021570076808242475,-0.0010825308380792958,0.0023984073678776164
Q020,25,152,407457,573749,525828,58,0.1061961717406085,-0.025321364893616864,0.00318627919928692,0.0003630320240596611,-9.542662236115475e-05,-0.006097406313902489,-0.005534258150855521,-0.0006393192711446088,-2.3760427424156073e-05,-2.9830317827822787e-05
K102,20,142,157794,157794,75213,154,0.021240651469784783,-0.01960970080932679,-0.0041831243597316116,-0.008518605969867445,-0.008776140486739008,-0.02525709545607458,-0.02335203753545136,-0.0020081080081593237,0.0032371285248011424,-0.003634881884220778
K207,22,155,790000,572754,572754,175,0.1476600583385395,-0.022838836348184545,0.0017456064257927275,0.002597499338749426,-0.0012722026483213227,-0.002808831075443031,-0.008023052478869608,-0.002322254085478112,0.0025310607871101903,-0.005237532965249895
X058,9,168,1120106,605986,539154,134,0.10027353556203206,-0.012961399257913158,-0.0014308781385289403,-0.0039400807878073995,0.006379946501922093,-0.004692327123085936,-0.0036774219750161583,-0.0008922843812228989,-0.004224293637841387,-0.004830902643857306
R024,31,151,146362,180237,135277,309,0.039359213590287004,-0.007293177720366104,-0.003237017126086855,-0.009579911043492116,-0.00017531478335392858,-0.014725349386816428,-0.012825271158757975,-0.0029982814914014293,0.0037381188036672334,-7.96912887420707e-05
X119,8,152,58847,116393,63875,215,0.04282025033030945,-0.02375782694426444,-0.001335132717300209,-0.007154856933482753,-0.0008290271964394963,-0.021733541402905395,-0.014933618561457663,-0.006212394164655192,0.003914781951711637,-0.006480255100331428
Q162,26,158,150606,150606,12742,157,0.021240651469784783,-0.01960970080932679,-0.0041831243597316116,-0.008518605969867445,-0.008776140486739008,-0.02525709545607458,-0.02335203753545136,-0.0020081080081593237,0.0032371285248011424,-0.003634881884220778
M173,6,152,652179,589079,529862,56,0.15301892365579325,-0.01673836860292504,0.0013820489655793147,0.00022528294930368922,-0.002849338032131738,-0.002144506884675094,-0.003688311340699606,-0.0022096117176742874,-0.0006303895370487434,-0.00032990283379161374
K138,17,159,422009,409483,371598,244,0.10619615713955176,-0.025321365879874207,0.003186271812892345,0.0003630265336142901,-9.542233880542327e-05,-0.006097411642677228,-0.005534260608972804,-0.000639332353516006,-2.3765374134907558e-05,-2.9833864469000853e-05
M486,2,153,437233,351036,343171,445,0.13013480350992893,-0.02517031366570364,0.00293855332090352,0.0009907924781431346,-0.00022181373368928168,-0.006085403504486627,-0.0034008465406680246,-0.0007223922040284851,0.0014058085616125181,-0.0008971391398465728
M115,6,153,466141,340601,313892,119,0.36764776988470543,-0.011306582430194565,0.0057869002396179195,-0.0042748070182229295,-0.001498560020401228,-0.0038467178003226098,-0.0016433196248978163,-0.0076700432030141555,-0.00018958834925878292,-0.004756968635684024
R060,31,173,37244,37412,8225,159,0.11613340313303822,-0.02248253496864564,0.0018189457549134531,0.002057515016834807,-0.0013452103949755006,-0.0020076967686446586,-0.012378721693134092,-0.0025976317406857983,0.0006680174601276937,-0.005021669052022213
Q013,24,196,708443,534436,528325,154,0.13013481162716095,-0.025170316717787574,0.002938552112081826,0.0009907981904595398,-0.0002218131606653438,-0.006085405521761997,-0.003400850780743397,-0.0007223982706709801,0.001405807137846658,-0.0008971408462477701
Q202,27,182,1057363,374354,373792,168,-0.006703892635153315,-0.01980532697967181,-0.0018071721467776056,0.0004197622642647702,0.001790505771172054,-0.0040026634458328585,-0.003205553742221335,-0.0017813995308606446,0.0033373764023460033,-0.001970804696952256
K261,15,123,396001,558543,443607,282,0.20939121283734244,-0.0017445108184406318,-0.0029523825254243537,-0.0004025054168459132,-0.009412083301724196,-0.007276139424505357,0.011285731283838602,0.012499446965926468,0.003939890512523359,-0.009675623799169246
M169,2,115,301587,180402,155833,218,0.16732408157274323,-0.017293735804358217,0.0005095883782616082,-0.00434866172378855,-0.0026973317629581874,-0.012022063189660709,-0.0031540794859298157,0.0008299776254440247,0.0029718506775261323,0.00023933208169613868
K116,32,156,445495,445495,15097,155,0.11613340313303822,-0.02248253496864564,0.0018189457549134531,0.002057515016834807,-0.0013452103949755006,-0.0020076967686446586,-0.012378721693134092,-0.0025976317406857983,0.0006680174601276937,-0.005021669052022213
Q080,28,154,487192,557295,506473,140,0.37994889047817454,0.01975405587860879,-0.004264350606717095,0.014190557490861556,0.0035328471287936454,-0.006624585487067034,-0.00824496421927692,4.856490408135436e-05,-0.0011243740792578878,0.001623636619631062
R029,31,158,154346,179247,179247,277,-0.22701036623846352,-0.01320305269778432,-0.01116869811795821,-0.006252929360352303,-0.009658491932260952,-0.015355228865444518,-0.015361284517343764,7.590796648878548e-05,0.008198990046327776,-0.00208290218641402
K185,20,153,297421,322751,322751,102,0.11023949695127293,-0.02397481318667712,0.0029513412640694244,0.0013210997245770185,-0.0031275475240283078,-0.004379609812287076,-0.007021758880923535,0.0021570027116828796,-0.0010825281944878123,0.0023984059832836114
X027,7,152,454495,545700,409744,79,0.11023949695127293,-0.02397481318667712,0.0029513412640694244,0.0013210997245770185,-0.0031275475240283078,-0.004379609812287076,-0.007021758880923535,0.0021570027116828796,-0.0010825281944878123,0.0023984059832836114
X089,11,150,284754,284754,3406,156,0.11010260915064657,-0.024396840639984926,0.0023273321361369816,0.0007605449761399083,0.0019368771848390532,-0.004543438880583343,-0.009522329083466233,-0.005002304433788844,0.0015884306853514126,-0.006451536332852196
M480,2,150,982629,844302,844302,107,0.09398904266354696,-0.023555152757973218,0.0021095843810973224,0.002991495010560776,-9.762513531850511e-05,-0.004147104421204138,-0.001698541356257883,-0.0016343938874098308,0.0023062363824138394,-0.0014851647202709466
M911,5,153,395977,291360,261294,96,0.10619616406815659,-0.025321362504563204,0.0031862667804434114,0.0003630283482401942,-9.542279387231697e-05,-0.00609741302902268,-0.005534267442405661,-0.0006393200649532073,-2.375599762843987e-05,-2.983014136534814e-05
M064,1,153,551747,734661,664523,174,0.10619616406815659,-0.025321362504563204,0.0031862667804434114,0.0003630283482401942,-9.542279387231697e-05,-0.00609741302902268,-0.005534267442405661,-0.0006393200649532073,-2.375599762843987e-05,-2.983014136534814e-05
Q118,29,152,780000,554099,546598,104,0.10619616406815659,-0.025321362504563204,0.0031862667804434114,0.0003630283482401942,-9.542279387231697e-05,-0.00609741302902268,-0.005534267442405661,-0.0006393200649532073,-2.375599762843987e-05,-2.983014136534814e-05
X111,11,152,530877,530877,13711,157,0.11023949778715189,-0.023974819838454387,0.0029513489940908182,0.00132110714803306,-0.003127543779126667,-0.004379603482896337,-0.007021757355359506,0.0021570076808242475,-0.0010825308380792958,0.0023984073678776164
Q045,27,152,729960,678895,627183,79,0.10619616406815659,-0.025321362504563204,0.0031862667804434114,0.0003630283482401942,-9.542279387231697e-05,-0.00609741302902268,-0.005534267442405661,-0.0006393200649532073,-2.375599762843987e-05,-2.983014136534814e-05
Q038,29,154,754443,710096,643081,300,-0.07840903869380346,-0.01715923876675742,-0.007262751247359087,0.0008251308538895886,0.0010635465458672607,-0.002103937148727133,-0.0007344026190596725,-0.003377083131459961,0.0028341579078292097,-0.001969095227497034
K615,19,224,1405112,764606,764606,240,0.13013480785750478,-0.02517030933466817,0.0029385523318608557,0.0009907896262626313,-0.00022181471273633892,-0.006085414716730406,-0.00340085232524444,-0.0007223822265459839,0.0014058084739007486,-0.0008971385820275059
K100,21,229,1053403,648809,630510,245,0.13013480785750478,-0.02517030933466817,0.0029385523318608557,0.0009907896262626313,-0.00022181471273633892,-0.006085414716730406,-0.00340085232524444,-0.0007223822265459839,0.0014058084739007486,-0.0008971385820275059
Q230,30,146,588832,588832,211724,152,0.576969709379134,0.01328045660096008,0.008735765986940562,-0.014292835187315969,-0.004443847421492389,-0.0039602910252002745,-0.0035979727287081564,-0.009643823321082207,-0.010320741675376935,0.0015585295401496057
Q120,25,254,1197635,591575,572862,190,0.11536026926581583,-0.017624645689327062,0.003033854740533341,0.0010232363659455933,0.0009284282380865382,-0.0027728796149162857,-0.000809728093823784,3.402810693720897e-05,0.0009665225262277572,0.00030438457293701363
Q155,27,150,576841,606067,570984,46,0.13013481778310784,-0.02517031270065884,0.00293855212428028,0.000990794921459674,-0.0002218168497867503,-0.006085413855274676,-0.0034008548624390087,-0.0007223811745350302,0.0014058030607928726,-0.0008971348753206599
K209,21,225,1208001,574070,574070,163,0.13013481778310784,-0.02517031270065884,0.00293855212428028,0.000990794921459674,-0.0002218168497867503,-0.006085413855274676,-0.0034008548624390087,-0.0007223811745350302,0.0014058030607928726,-0.0008971348753206599
M042,2,152,643030,607328,586109,159,0.13013481778310784,-0.02517031270065884,0.00293855212428028,0.000990794921459674,-0.0002218168497867503,-0.006085413855274676,-0.0034008548624390087,-0.0007223811745350302,0.0014058030607928726,-0.0008971348753206599
K309,16,134,173634,173634,4242,141,0.04282025033030945,-0.02375782694426444,-0.001335132717300209,-0.007154856933482753,-0.0008290271964394963,-0.021733541402905395,-0.014933618561457663,-0.006212394164655192,0.003914781951711637,-0.006480255100331428
R013,31,150,703945,727405,526401,66,0.13668931252051353,-0.01730947109481448,0.001315880666528114,-0.00035815992925861524,0.00034718450415859096,-0.004153051406994532,-0.00304936654797794,0.0010278672779357768,0.0023156843236318047,0.0002366699458064643
X067,12,137,1275345,737988,594968,50,0.14409424187849387,-0.009472096475157324,-0.001264605922655315,-0.0006600033397207064,-0.003717767150577948,-0.001008371723431509,0.003843007742230314,0.0018852251592851618,0.0024484153974079583,-0.004238533992724851
K877,17,152,277627,342409,311950,450,0.14766005535783186,-0.0228388284231058,0.0017456042979858892,0.002597491590845929,-0.0012722023305724106,-0.002808831835424884,-0.008023048362741113,-0.0023222606684062336,0.002531061200035744,-0.0052375346484384005
K052,22,153,522150,537269,530155,163,0.14766005535783186,-0.0228388284231058,0.0017456042979858892,0.002597491590845929,-0.0012722023305724106,-0.002808831835424884,-0.008023048362741113,-0.0023222606684062336,0.002531061200035744,-0.0052375346484384005
Q090,27,136,1541012,1541012,199728,155,0.13013481162716095,-0.025170316717787574,0.002938552112081826,0.0009907981904595398,-0.0002218131606653438,-0.006085405521761997,-0.003400850780743397,-0.0007223982706709801,0.001405807137846658,-0.0008971408462477701
K656,15,156,639043,523169,472624,182,0.11707974759917751,-0.014509559342066517,-0.0010907757669899357,-0.001433341673488241,-0.00040256420410264706,0.0005957790611207534,-0.006895172795151312,0.003711256268090158,0.007949590013487145,0.004679376799014879
Q125,24,141,133500,130839,125914,128,0.09233293400402659,0.004026679297750114,-0.005240362732099355,-0.002897471069805302,0.008202122926690529,-0.0009907172705012426,-0.0010922535071981351,0.007548742701680484,0.005767518589209359,0.004468409537994433
X455,11,174,587400,421689,382403,245,0.030597217235274532,0.015526057425064802,-0.011626230355938579,-0.015445468303328247,0.021784082226358168,-0.0014417993727345894,-0.004322756943072538,-0.001288749619485532,-0.01736120793910949,-0.01400966450054424
K211,18,168,542200,447051,389675,71,0.030597217235274532,0.015526057425064802,-0.011626230355938579,-0.015445468303328247,0.021784082226358168,-0.0014417993727345894,-0.004322756943072538,-0.001288749619485532,-0.01736120793910949,-0.01400966450054424
Q049,24,152,664049,664775,194478,157,0.10619617127533675,-0.025321361844952886,0.003186270682975446,0.000363032582739724,-9.542421988445155e-05,-0.006097412312928623,-0.005534268527638315,-0.0006393223986400077,-2.3759598553740122e-05,-2.9828409661529295e-05
K021,16,173,566650,290957,267568,467,0.030597217235274532,0.015526057425064802,-0.011626230355938579,-0.015445468303328247,0.021784082226358168,-0.0014417993727345894,-0.004322756943072538,-0.001288749619485532,-0.01736120793910949,-0.01400966450054424
K273,19,167,521220,494429,444909,287,0.030597217235274532,0.015526057425064802,-0.011626230355938579,-0.015445468303328247,0.021784082226358168,-0.0014417993727345894,-0.004322756943072538,-0.001288749619485532,-0.01736120793910949,-0.01400966450054424
K380,14,167,567800,440568,359088,427,0.030597217235274532,0.015526057425064802,-0.011626230355938579,-0.015445468303328247,0.021784082226358168,-0.0014417993727345894,-0.004322756943072538,-0.001288749619485532,-0.01736120793910949,-0.01400966450054424
M191,3,175,621350,379906,306740,243,0.030597217235274532,0.015526057425064802,-0.011626230355938579,-0.015445468303328247,0.021784082226358168,-0.0014417993727345894,-0.004322756943072538,-0.001288749619485532,-0.01736120793910949,-0.01400966450054424
Q002,30,158,788554,788554,276732,154,0.10619617127533675,-0.025321361844952886,0.003186270682975446,0.000363032582739724,-9.542421988445155e-05,-0.006097412312928623,-0.005534268527638315,-0.0006393223986400077,-2.3759598553740122e-05,-2.9828409661529295e-05
K084,14,169,383191,291110,278505,305,0.030597217235274532,0.015526057425064802,-0.011626230355938579,-0.015445468303328247,0.021784082226358168,-0.0014417993727345894,-0.004322756943072538,-0.001288749619485532,-0.01736120793910949,-0.01400966450054424
Q822,29,174,58947,34687,33672,280,0.030597217235274532,0.015526057425064802,-0.011626230355938579,-0.015445468303328247,0.021784082226358168,-0.0014417993727345894,-0.004322756943072538,-0.001288749619485532,-0.01736120793910949,-0.01400966450054424
X136,12,170,363600,735765,405452,198,0.030597217235274532,0.015526057425064802,-0.011626230355938579,-0.015445468303328247,0.021784082226358168,-0.0014417993727345894,-0.004322756943072538,-0.001288749619485532,-0.01736120793910949,-0.01400966450054424
Q009,24,193,974931,797057,714741,255,0.16463107395698,0.014288039883065233,-0.009497808860398806,-0.01467874479015464,0.010082328735001162,0.0017230816552940957,-0.0006846354157182789,-0.0020963682974479247,-0.0017721849692143568,-0.007337493506809138
X060,8,178,121397,121397,6264,158,0.04304840275033815,-0.023054455574984447,-0.0002950916149111408,-0.006220582599711986,-0.00926973160685694,-0.021460479921479828,-0.010765992905900672,0.0057197850295861285,-0.0005368279691205475,0.008269642656653146
Q136,29,174,632103,691976,670526,280,0.28903731071336697,0.016479657525969454,-0.0023672530949938606,-0.0167261173436222,0.012431713467488401,0.0037358287968305816,-0.0028111183315187634,0.002233553272178302,-0.008488687175496262,-0.0026378068300585175
X154,7,173,481290,466884,451774,237,0.28903731071336697,0.016479657525969454,-0.0023672530949938606,-0.0167261173436222,0.012431713467488401,0.0037358287968305816,-0.0028111183315187634,0.002233553272178302,-0.008488687175496262,-0.0026378068300585175
K304,16,189,730453,500757,434193,235,0.3634602587737603,0.01855771829191803,0.0005535942794298859,-0.017967316182824076,0.010896618205740928,0.004861512088604297,-0.005301426572045932,0.0019206242064229307,-0.009252153838491201,-0.0016258479717732842
K148,14,173,752450,707473,615193,447,0.3634602587737603,0.01855771829191803,0.0005535942794298859,-0.017967316182824076,0.010896618205740928,0.004861512088604297,-0.005301426572045932,0.0019206242064229307,-0.009252153838491201,-0.0016258479717732842
M061,1,170,452136,452136,17858,157,0.11023949695127293,-0.02397481318667712,0.0029513412640694244,0.0013210997245770185,-0.0031275475240283078,-0.004379609812287076,-0.007021758880923535,0.0021570027116828796,-0.0010825281944878123,0.0023984059832836114
K001,15,169,455615,414911,312441,169,0.3634602587737603,0.01855771829191803,0.0005535942794298859,-0.017967316182824076,0.010896618205740928,0.004861512088604297,-0.005301426572045932,0.0019206242064229307,-0.009252153838491201,-0.0016258479717732842
X178,11,174,341550,266407,257518,261,0.3634602587737603,0.01855771829191803,0.0005535942794298859,-0.017967316182824076,0.010896618205740928,0.004861512088604297,-0.005301426572045932,0.0019206242064229307,-0.009252153838491201,-0.0016258479717732842
M155,4,168,681596,542333,481561,281,0.2238741472668202,0.009976893416790233,-0.0022634674434676713,-0.015722097382428322,0.0072294441816295974,-0.001966288495214237,-0.010834047254644312,0.0001632951486291423,-0.007467592022205028,-0.003208359593687295
K312,22,170,765850,408322,371397,319,0.36402365273091525,0.019463658362584214,0.001452483271917743,-0.014411910738420516,0.009720919015559956,0.0023642347459872856,-0.0028733625217980635,-0.005981807929200397,-0.017383080777238248,-0.0032276992701155104
K090,21,136,278019,278019,237627,153,0.10619616406815659,-0.025321362504563204,0.0031862667804434114,0.0003630283482401942,-9.542279387231697e-05,-0.00609741302902268,-0.005534267442405661,-0.0006393200649532073,-2.375599762843987e-05,-2.983014136534814e-05
M022,1,170,977750,609823,463743,268,0.3479843001828963,0.01867615447020087,0.0003372114770174486,-0.011191239577429467,0.009667585669919801,0.0023081883121487475,-0.0007467151922932507,-0.008044206164966962,-0.01566536708088108,-0.002970931912664378
M197,5,170,1052150,455488,403205,338,0.3479843001828963,0.01867615447020087,0.0003372114770174486,-0.011191239577429467,0.009667585669919801,0.0023081883121487475,-0.0007467151922932507,-0.008044206164966962,-0.01566536708088108,-0.002970931912664378
K029,15,169,793750,636618,526216,156,0.3479843001828963,0.01867615447020087,0.0003372114770174486,-0.011191239577429467,0.009667585669919801,0.0023081883121487475,-0.0007467151922932507,-0.008044206164966962,-0.01566536708088108,-0.002970931912664378
X073,9,169,788850,469992,397685,261,0.3479843001828963,0.01867615447020087,0.0003372114770174486,-0.011191239577429467,0.009667585669919801,0.0023081883121487475,-0.0007467151922932507,-0.008044206164966962,-0.01566536708088108,-0.002970931912664378
Q022,25,144,876491,876491,258812,154,0.13013480785750478,-0.02517030933466817,0.0029385523318608557,0.0009907896262626313,-0.00022181471273633892,-0.006085414716730406,-0.00340085232524444,-0.0007223822265459839,0.0014058084739007486,-0.0008971385820275059
R057,31,173,710500,528310,483802,187,0.23357407423484802,0.017111797618741098,-0.0043037169652824945,-0.01020328450728145,0.011013478880575,0.002545538477906104,-0.002211969765999266,-0.00670848370265406,-0.013456718377025964,-0.0039010812297847175
K123,32,173,877050,603901,485358,336,-0.006823719244016487,0.014032178665133128,-0.011642487353335987,-0.011793706269925477,0.016606669594094695,0.0007517703208492618,-0.004239850525666063,-1.5290172038189424e-05,-0.004066706544002924,-0.008484289582959596
K299,32,174,661849,560042,452732,358,0.2213150606012508,0.01660355682694085,-0.0021192033059902905,-0.01415560068663916,0.012183022765636204,0.002968375587961776,-0.00549600133872231,-0.00015894193202386746,-0.009375254861005445,-0.006887170923038786
K044,13,170,683200,514363,449325,143,0.2213150606012508,0.01660355682694085,-0.0021192033059902905,-0.01415560068663916,0.012183022765636204,0.002968375587961776,-0.00549600133872231,-0.00015894193202386746,-0.009375254861005445,-0.006887170923038786
Q063,27,167,1768026,1771158,239627,156,0.1301348209937451,-0.025170312890791028,0.0029385578071553127,0.000990794051973525,-0.0002218172638025753,-0.0060854114931026175,-0.0034008548500972613,-0.0007223772722084447,0.001405801551908115,-0.000897134050362527
K085,13,153,450345,388044,351747,182,0.05288700170543187,-0.0030839749238158356,-0.004607371909011288,-0.010477652492469309,0.014032102382096059,-0.006575809000385922,0.000668205862925354,0.000537663181731416,-0.010979653970016613,-0.004424259918424097
Q158,26,135,83366,58653,32705,302,-0.1091122950357125,0.0021163569628762507,-0.010326628672333733,-0.004658741135866849,0.01095031388278082,-0.0030161636730136514,0.00432537578179968,-0.002028786957363107,-0.002996064870965608,-0.0014229032289236308
M191,3,142,55919,30850,27128,104,-0.20831072683001225,0.0013084195284736786,-0.013449121217572687,-0.004082583277722224,0.00890565809995089,8.867319993377701e-05,0.0011882677731757413,0.0009008218964988215,0.0022414612754991146,-0.006091218525745794
K201,20,139,85010,57411,9819,176,0.2161159756269509,0.005163994129871322,0.002333191147419721,-0.008902699525554683,0.004747013004549629,-0.0021497423529919443,0.004761375188351614,-0.00021047894715090558,-0.000614054352086644,0.004136090337244093
M096,4,137,793701,793701,8963,155,0.13013481820350584,-0.025170313021179645,0.002938556128552677,0.000990800901204722,-0.000221819446067378,-0.006085405156589244,-0.0034008502769936797,-0.0007223781670308758,0.001405804806577876,-0.0008971373771750759
M834,2,152,174858,193903,170048,280,0.6611479873054359,0.015969345553017628,0.0017025290889675058,-0.01429687710190807,-0.009970592368531503,8.196697968667846e-05,0.004576062934310093,-0.009655165533859643,0.0003077166735529344,-0.007119250688345713
R034,31,159,625745,279007,278186,167,0.5947268008823028,0.023328880547456323,0.00020799973125514788,0.003292689762319625,-0.0027079478669773268,-0.0009216799516510062,0.00042656256195881245,-0.006899538400186246,-0.0021211800620675398,-0.003454829079916995
R435,31,153,543998,455218,405324,233,0.009707773200107066,0.0051455281335047644,-0.009371404848321073,-0.008562295818782163,0.0014637793341144528,0.006375203386249701,-0.0032288402012732743,0.003645660037297655,0.009598917428763,0.004186818618012173
M470,3,183,189433,210497,207760,348,0.059637473947654285,0.007177577557981675,-0.013701788769012272,-0.003216051908253757,-0.00133412476456613,0.005428795116539914,0.004440111556690567,-0.0034421129826265147,0.0022445854044236663,0.0010981798829362921
K147,14,146,32017,33816,11676,137,0.23951626229485684,0.0030108552782161456,0.0027949591652917253,-0.009710756177416185,0.002131412986322272,0.000744721255231604,0.005082373033957098,-0.00048139075587773887,-0.0009741898529200724,0.003017432497729595
Q239,24,179,388000,567782,302191,326,0.4676770120552736,0.019546053820613578,0.005091268627654457,-0.007005263552918042,0.003612193206081079,0.006360136245400669,-0.003781657319383863,0.00068537321053294,-0.003261112754374456,0.003900807645018899
Q079,25,153,85502,14780,14780,51,0.3264445104847687,0.007001458418127579,-0.0040024165161428715,-0.01062075057532232,0.002784359242130854,0.004128315394063204,0.003990822428605483,0.0047538928523003145,0.0019064899614087362,0.0004992353299095918
K152,22,154,424041,332720,323046,272,0.6337253322285427,0.016841183217898688,0.0020398519439554386,-0.020037633959831245,-0.010748316977031437,0.0016345860208863343,0.009311634331649877,-0.004964570922311119,-0.0008002565015297158,-0.0006950059510154896
Q216,26,107,144499,124706,117421,112,0.2629900132551372,0.012075852649765007,0.0002890930749165252,-0.010462865723378631,0.0005292010084373335,0.003725052590352826,-0.005236927891812884,0.002316366665256337,-8.431115158034741e-05,0.00498218427365588
K169,15,185,438667,438667,198102,169,0.36402365273091525,0.019463658362584214,0.001452483271917743,-0.014411910738420516,0.009720919015559956,0.0023642347459872856,-0.0028733625217980635,-0.005981807929200397,-0.017383080777238248,-0.0032276992701155104
K525,21,140,96465,62701,59339,182,0.29077665618836024,0.00294446417299192,-0.00269101356004866,-0.011721948972814786,-0.001909788851147128,-0.013433786216526683,-0.010190734211317385,0.0032158104914323895,-8.572227273250585e-05,0.003470763153148039
K490,20,155,1339243,668272,630168,300,0.5321161170521206,0.01791754074367568,-0.0004679225950973871,-0.0039454175103916704,-0.003723661138048206,-0.008408596692670875,-0.005884688821812213,0.0005066550103517604,-0.00510615062748145,0.0011961570517530972
Q610,24,153,783464,319813,303861,224,0.470937016103181,0.013165118367202036,-0.0014233211074301897,-0.006716823032901417,-0.005902540735938274,-0.010914982487939243,-0.006411489595955867,0.0022411254570138166,-0.0029610652315536475,-0.0006381313460592041
Q425,25,138,472411,312420,268384,368,0.45020927633191504,0.005058100513037166,-0.0020996391752465975,-0.013611947564502482,-0.010178971839061314,-0.020387921992546746,-0.012146412238147511,0.00637180262910722,-0.002234069899647561,-0.0008507991142103294
K286,22,199,634596,634596,281687,190,0.3640236527309154,0.019463658362584225,0.0014524832719177516,-0.014411910738420452,0.009720919015559926,0.002364234745987311,-0.0028733625217980644,-0.0059818079292005616,-0.01738308077723832,-0.003227699270115403
Q087,24,141,38121,31392,27731,163,0.45020927633191504,0.005058100513037166,-0.0020996391752465975,-0.013611947564502482,-0.010178971839061314,-0.020387921992546746,-0.012146412238147511,0.00637180262910722,-0.002234069899647561,-0.0008507991142103294
X790,7,139,129250,102038,90493,177,0.45020927633191504,0.005058100513037166,-0.0020996391752465975,-0.013611947564502482,-0.010178971839061314,-0.020387921992546746,-0.012146412238147511,0.00637180262910722,-0.002234069899647561,-0.0008507991142103294
Q074,26,141,316124,250740,238687,148,0.48941154844379603,0.015349681444049496,-0.0016031074562310097,-0.00607351923800275,-0.004454066375667755,-0.010276381604417283,-0.00795780991372727,0.0023883192561622813,-0.004168037311465333,0.0009673270302472749
