Identifier,District,PlannedDuration,Budget,EstimatedCost,ActualCost,PC1,PC2,PC3,PC4
Q104,27,141,62775,81374,74898,13.379076819718192,-0.4947510834076746,0.8682577217076132,2.2681329960868957
Q152,30,155,25472,13298,13298,-13.535370274190004,0.6688632917538194,0.9672569209379893,0.09451254436492304
Q109,29,155,22635,25126,25126,-9.286235177142556,0.07357378433580168,0.9685440408746677,0.41774855155210333
X088,9,156,13056,8340,8340,-9.286235177142556,0.07357378433580168,0.9685440408746677,0.41774855155210333
K191,17,219,1454172,683308,630541,-14.497714018363105,1.7290659991735946,0.8505275988629805,-0.6052951803326423
R005,31,144,102919,446883,181926,-10.557472115281824,0.9512137584832471,0.7860313618130929,0.4909093179952651
Q116,29,156,233321,160551,88577,0.37517036947245735,-0.30461605169344935,1.8152556991566104,1.8199109485293095
K171,19,153,188350,117901,105589,-5.248008710828019,-2.860481194969894,-1.4408138492357223,-0.6952089327340922
K110,14,155,62138,171537,163959,-5.248008710828019,-2.860481194969894,-1.4408138492357223,-0.6952089327340922
M234,2,153,143751,187935,120611,-5.248008710828019,-2.860481194969894,-1.4408138492357223,-0.6952089327340922
Q410,27,153,199839,227987,216686,-2.890391635965014,-2.111608539880213,-0.0547979620062829,-0.7656234127415736
K106,32,154,618501,512890,404215,-2.884892409675788,-2.2261057149396843,0.17003947396469393,-0.7628698030081694
X498,11,156,137389,165125,165125,-4.15985449474093,-3.033854699006998,-1.5777791831822858,-0.49995370461205024
R029,31,154,274324,317096,301843,-3.8356148033867274,-2.946414719579668,-0.9159871741061933,-0.5629290852420076
Q263,29,159,572361,436832,413369,-4.5409385170160865,-1.79763247748746,0.17251488780161467,-0.4433301834152173
X024,10,154,216989,324406,171108,-5.6116170858161665,0.030552096550500528,-0.6895365065469966,0.5578295430698004
Q680,28,186,644000,704713,540026,-8.843440624700087,0.07779194524180003,0.16193798656975156,0.05450757387933475
Q189,25,153,785001,680915,614940,-2.734668317964912,-2.4185218556703125,-0.16691902576928463,-0.653965384310861
X016,11,158,281335,358696,358696,-4.386397476427914,-0.18106180903928182,-0.33688154469246295,-0.03253014968509679
K239,21,257,1350000,401602,401214,-3.352969222574845,-2.340599889383045,0.1023972859788011,-0.6464615419748778
